Id,SalePrice
1461,127765.908
1462,153004.8699
1463,182824.9105
1464,196778.7207
1465,187054.6522
1466,184167.4402
1467,166334.7689
1468,176620.0558
1469,178398.8717
1470,136797.6723
1471,198695.1943
1472,101324.4018
1473,102440.3195
1474,151046.2377
1475,130699.3182
1476,331092.955
1477,236940.845
1478,284474.808
1479,289897.2733
1480,369206.5225
1481,286360.9698
1482,202800.76
1483,185109.9809
1484,177885.0661
1485,188988.2359
1486,194244.3726
1487,273713.4441
1488,211641.3413
1489,208877.3376
1490,226059.81
1491,197694.8063
1492,103245.2316
1493,177293.7598
1494,261819.1411
1495,267712.9093
1496,239350.6768
1497,177525.3535
1498,166556.5047
1499,160940.6269
1500,169009.8023
1501,171039.2243
1502,182890.691
1503,240139.976
1504,226594.5564
1505,215702.7679
1506,172988.2883
1507,225593.8669
1508,179857.42
1509,154725.985
1510,147582.5448
1511,148501.5657
1512,166010.0264
1513,145971.3878
1514,135520.3366
1515,161620.6001
1516,149920.8865
1517,161545.5537
1518,138330.5308
1519,214644.4656
1520,141643.0637
1521,142307.2095
1522,158335.3622
1523,119364.6433
1524,121609.8727
1525,129421.6167
1526,127360.5193
1527,117452.5996
1528,126015.9534
1529,138499.6945
1530,167066.3422
1531,139001.3234
1532,103295.77
1533,133522.2176
1534,121193.0786
1535,140939.9817
1536,118304.5769
1537,97315.08115
1538,145579.1297
1539,160611.7677
1540,105192.3011
1541,130269.9964
1542,133429.0105
1543,163352.3865
1544,104100.3085
1545,117018.2596
1546,129380.9722
1547,137759.1248
1548,121853.1961
1549,119358.2194
1550,132339.7201
1551,115721.6528
1552,142434.0609
1553,122378.1357
1554,128019.0109
1555,165251.8464
1556,111269.7705
1557,100616.6017
1558,117484.1496
1559,99907.71515
1560,134637.9172
1561,125137.8858
1562,136702.581
1563,131066.0028
1564,156836.3656
1565,160009.2348
1566,205389.7197
1567,101873.7527
1568,226840.7691
1569,147415.5893
1570,149246.0837
1571,130875.2735
1572,135680.1179
1573,223604.3416
1574,122464.2794
1575,200481.1949
1576,230697.1664
1577,197034.4996
1578,138105.9662
1579,148272.796
1580,188557.2338
1581,153802.5306
1582,127697.3932
1583,275804.959
1584,225877.9868
1585,140143.3462
1586,98820.88548
1587,120049.3523
1588,149558.7803
1589,109611.8566
1590,132500.0467
1591,105730.5928
1592,126234.7066
1593,126686.9296
1594,116233.7859
1595,114106.0811
1596,195306.7582
1597,162963.7138
1598,192883.0999
1599,181562.1226
1600,179897.1726
1601,93776.54305
1602,117551.2845
1603,97670.61908
1604,264386.5893
1605,231369.435
1606,161326.0334
1607,152860.8466
1608,225338.0519
1609,198035.0469
1610,167803.8752
1611,151166.1393
1612,182572.9146
1613,167606.5187
1614,134253.6753
1615,97925.77687
1616,94141.9861
1617,95426.07746
1618,127167.6944
1619,143413.8001
1620,150236.6249
1621,141701.5314
1622,149033.8746
1623,227413.5451
1624,218969.7176
1625,124799.5138
1626,167678.1873
1627,187671.0279
1628,259113.0483
1629,177612.4331
1630,267008.7754
1631,194660.1661
1632,217073.4716
1633,183053.9123
1634,190646.9828
1635,189783.553
1636,172549.9759
1637,177590.5023
1638,194034.1806
1639,178382.0221
1640,215215.9527
1641,177887.4501
1642,237735.5401
1643,215723.8156
1644,226006.6357
1645,182126.0501
1646,166256.238
1647,164963.0444
1648,136890.0939
1649,145666.5349
1650,127199.0155
1651,129149.0686
1652,96429.7245
1653,103489.1537
1654,148528.8979
1655,144937.8985
1656,145148.7783
1657,148322.843
1658,154606.9796
1659,129401.1669
1660,163014.8746
1661,351011.0919
1662,309391.7672
1663,331327.2918
1664,363001.449
1665,284942.439
1666,315474.2344
1667,309757.8307
1668,319819.2513
1669,284443.5139
1670,326791.8594
1671,258838.5162
1672,322935.4659
1673,271853.6068
1674,234439.228
1675,194256.4108
1676,206988.3181
1677,212319.055
1678,345024.4015
1679,346204.8476
1680,305581.6354
1681,248693.7974
1682,307090.7599
1683,192601.1722
1684,183064.6663
1685,182808.9401
1686,172607.0426
1687,182709.715
1688,202507.1568
1689,199409.8026
1690,191769.7639
1691,194119.4794
1692,243711.5176
1693,180957.2221
1694,184410.7538
1695,171636.8857
1696,240142.2729
1697,173247.4787
1698,290167.548
1699,261303.3495
1700,262929.3586
1701,258286.7715
1702,233318.5833
1703,234639.1562
1704,263313.9059
1705,249790.1791
1706,317314.6468
1707,224888.4629
1708,205960.6359
1709,245876.0804
1710,218010.4168
1711,267375.4652
1712,244438.5134
1713,258155.2775
1714,203619.0748
1715,206401.5802
1716,176082.5902
1717,172640.3481
1718,109969.9738
1719,208002.4355
1720,221628.4552
1721,163674.5475
1722,109145.9128
1723,156669.5536
1724,206246.7329
1725,237265.5444
1726,192947.0582
1727,170738.093
1728,189256.0215
1729,169562.8184
1730,135535.0752
1731,131063.4631
1732,132925.8601
1733,125873.3968
1734,131493.3106
1735,145150.3337
1736,133167.0273
1737,215841.9369
1738,226838.3852
1739,195474.0307
1740,217586.0228
1741,202124.1022
1742,167011.514
1743,167381.1296
1744,243316.0016
1745,191955.0852
1746,190362.0022
1747,198329.1852
1748,199254.8335
1749,162450.54
1750,135466.9946
1751,225354.2006
1752,127310.7849
1753,143663.3
1754,181723.3126
1755,172759.4633
1756,129471.9278
1757,123134.8623
1758,150417.0555
1759,159101.6582
1760,161420.9275
1761,147707.2596
1762,173031.0683
1763,175671.3009
1764,132406.8151
1765,146976.141
1766,168406.1549
1767,179566.4365
1768,145894.6876
1769,157509.6485
1770,150658.9578
1771,131553.2125
1772,133491.8474
1773,143904.4581
1774,141885.6153
1775,138528.6401
1776,130151.097
1777,124871.0075
1778,140881.8233
1779,126637.3191
1780,153988.0278
1781,131050.01
1782,107839.5675
1783,143748.1573
1784,123321.1937
1785,120435.17
1786,144761.2249
1787,156461.4446
1788,90620.84378
1789,108327.2556
1790,108933.6385
1791,159716.3812
1792,143161.9612
1793,140256.347
1794,141317.4824
1795,139745.6676
1796,158087.9487
1797,115055.3902
1798,131803.1668
1799,125788.8411
1800,145303.6294
1801,123611.9373
1802,126071.0564
1803,150969.664
1804,149536.6036
1805,142726.5777
1806,115077.1565
1807,123897.5835
1808,128521.6927
1809,111863.3064
1810,138077.1926
1811,101399.4251
1812,99175.5074
1813,120783.0073
1814,108470.7962
1815,87626.26971
1816,112689.7049
1817,133743.4877
1818,141013.5029
1819,139714.6454
1820,90593.29568
1821,119817.918
1822,143664.8028
1823,74682.50374
1824,126139.8465
1825,140707.2727
1826,126057.0434
1827,112006.023
1828,129047.6954
1829,111948.2408
1830,124449.9757
1831,132356.8634
1832,111715.2839
1833,134457.8341
1834,138616.989
1835,118457.2044
1836,113963.3013
1837,106591.4139
1838,126746.5699
1839,112205.7028
1840,170855.5189
1841,139644.9301
1842,104969.1891
1843,143289.8738
1844,152973.006
1845,153788.8386
1846,155349.9867
1847,169170.9771
1848,76153.77444
1849,121019.8058
1850,126820.9209
1851,152397.4812
1852,132613.8203
1853,158827.0848
1854,175381.7836
1855,163615.3257
1856,227370.5922
1857,154504.7705
1858,128058.1083
1859,120408.2836
1860,155105.2825
1861,118591.129
1862,224833.7419
1863,217068.3799
1864,217069.8891
1865,343847.6943
1866,312391.203
1867,214694.2976
1868,284891.8229
1869,198620.1932
1870,217305.8395
1871,255888.374
1872,187753.6827
1873,217771.5062
1874,147413.1929
1875,188538.7698
1876,200039.9864
1877,217214.5881
1878,217285.8262
1879,140172.1382
1880,137460.5582
1881,233414.1225
1882,248958.756
1883,195713.3363
1884,200255.2233
1885,231461.6996
1886,271432.0055
1887,213182.8051
1888,251532.3954
1889,191801.145
1890,138107.5647
1891,141969.8306
1892,116496.832
1893,132335.1555
1894,128720.686
1895,146692.9836
1896,128166.7333
1897,133439.1623
1898,135079.5667
1899,149934.5734
1900,139357.7521
1901,152759.8235
